-0.12 -95.06,32.72 -92.74,65.29 -87.23,81.10 61.39,49.06 80.82,16.31 83.90,-16.54 86.02,-49.22 89.11,-81.14 108.61,-65.39 -102.90,-32.92 -97.37,10.84 -64.36,43.62 -61.63,75.96 -50.55,70.66 104.68,38.17 112.13,5.36 114.62,-27.47 116.82,-60.02 121.18,-85.51 -117.94,-54.63 -70.10,-22.01 -66.50,21.78 -33.61,54.49 -30.02,85.51 17.73,59.90 138.76,27.25 143.11,-5.60 145.30,-38.36 147.79,-70.73 155.27,-76.02 -49.60,-43.79 -38.49,-11.07 -35.75,32.72 -2.74,65.29 2.77,81.10 151.39,49.06 170.82,16.31 173.90,-16.54 176.02,-49.22 179.11,-81.14 -161.39,-65.39 -12.90,-32.92 -7.37,-0.12 -5.06,43.62 28.37,75.96 39.45,70.66 -165.32,38.17 -157.87,5.36 -155.38,-27.47 -153.18,-60.02 -148.82,-85.51 -27.94,-54.63 19.90,-22.01 23.50,10.84 25.64,54.49 59.98,85.51 107.73,59.90 -131.24,27.25 -126.89,-5.60 -124.70,-38.36 -122.21,-70.73 -114.73,-76.02 40.40,-43.79 51.51,-11.07 54.25,21.78 56.39
39.90 -94.81,72.35 -86.47,74.29 69.34,41.89 78.97,9.10 81.62,-23.74 83.77,-56.34 87.58,-86.29 156.77,-58.31 -103.63,-25.73 -99.54,7.10 -97.36,50.78 -63.41,82.65 -38.79,63.58 104.95,30.98 110.04,-1.86 112.31,-34.65 114.67,-67.09 120.71,-79.54 -87.62,-47.50 -71.72,-14.81 -68.76,18.05 -66.64,61.62 -31.16,84.30 103.39,52.76 137.47,20.05 140.88,-12.81 143.01,-45.52 145.84,-77.67 158.83,-69.04 -47.21,-36.63 -40.48,-3.86 -38.05,28.99 -35.82,72.35 3.53,74.29 159.34,41.89 168.97,9.10 171.62,-23.74 173.77,-56.34 177.58,-86.29 -113.23,-58.31 -13.63,-25.73 -9.54,7.10 -7.36,39.90 -4.81,82.65 51.21,63.58 -165.05,30.98 -159.96,-1.86 -157.69,-34.65 -155.33,-67.09 -149.29,-79.54 2.38,-47.50 18.28,-14.81 21.24,18.05 23.36,50.78 26.59,84.30 -166.61,52.76 -132.53,20.05 -129.12,-12.81 -126.99,-45.52 -124.16,-77.67 -111.17,-69.04 42.79,-36.63 49.52,-3.86 51.95,28.99 54.18,61.62 58.84
43.53 -94.65,75.87 -83.67,70.75 71.62,38.27 79.11,5.45 81.60,-27.37 83.80,-59.93 88.14,-85.57 -151.92,-54.72 -103.13,-22.10 -99.52,10.74 -97.38,54.39 -63.05,85.45 -16.22,59.99 105.72,27.35 110.09,-5.50 112.29,-38.27 114.77,-70.64 122.20,-76.11 -82.71,-43.89 -71.51,-11.17 -68.77,21.69 -66.63,65.20 -30.28,81.19 118.13,49.15 137.79,16.41 140.88,-16.45 143.00,-49.12 146.09,-81.05 165.35,-65.49 -45.95,-33.01 -40.39,-0.22 -38.07,32.62 -35.76,75.87 6.33,70.75 161.62,38.27 169.11,5.45 171.60,-27.37 173.80,-59.93 178.14,-85.57 -61.92,-54.72 -13.13,-22.10 -9.52,10.74 -7.38,43.53 -4.65,85.45 73.78,59.99 -164.28,27.35 -159.91,-5.50 -157.71,-38.27 -155.23,-70.64 -147.80,-76.11 7.29,-43.89 18.49,-11.17 21.23,21.69 23.37,54.39 26.95,81.19 -151.87,49.15 -132.21,16.41 -129.12,-16.45 -127.00,-49.12 -123.91,-81.05 -104.65,-65.49 44.05,-33.01 49.61,-0.22 51.93,32.62 54.24,65.20 59.72
47.15 -94.44,79.33 -78.92,67.19 73.13,34.64 79.21,1.81 81.58,-31.00 83.84,-63.50 88.90,-82.83 -128.16,-51.12 -102.76,-18.47 -99.51,14.38 -97.39,58.00 -62.56,86.33 34.35,56.39 106.29,23.71 110.11,-9.15 112.27,-41.88 114.91,-74.17 124.44,-72.60 -79.83,-40.27 -71.35,-7.53 -68.78,25.33 -66.61,68.77 -29.04,77.80 124.87,45.54 138.03,12.76 140.88,-20.09 143.00,-52.72 146.41,-84.17 179.46,-61.91 -45.04,-29.39 -40.33,3.43 -38.10,36.25 -35.68,79.33 11.08,67.19 163.13,34.64 169.21,1.81 171.58,-31.00 173.84,-63.50 178.90,-82.83 -38.16,-51.12 -12.76,-18.47 -9.51,14.38 -7.39,47.15 -4.44,86.33 124.35,56.39 -163.71,23.71 -159.89,-9.15 -157.73,-41.88 -155.09,-74.17 -145.56,-72.60 10.17,-40.27 18.65,-7.53 21.22,25.33 23.39,58.00 27.44,77.80 -145.13,45.54 -131.97,12.76 -129.12,-20.09 -127.00,-52.72 -123.59,-84.17 -90.54,-61.91 44.96,-29.39 49.67,3.43 51.90,36.25 54.32,68.77 60.96
50.76 -94.17,82.63 -69.63,63.61 74.19,31.01 79.28,-1.84 81.55,-34.62 83.92,-67.07 89.95,-79.56 -118.42,-47.52 -102.48,-14.83 -99.51,18.03 -97.39,61.59 -61.92,84.32 72.49,52.79 106.71,20.07 110.13,-12.79 112.25,-45.49 115.09,-77.65 128.04,-69.07 -77.98,-36.66 -71.23,-3.88 -68.80,28.96 -66.58,72.33 -27.23,74.31 128.57,41.91 138.22,9.12 140.86,-23.72 143.01,-56.32 146.83,-86.28 -144.33,-58.33 -44.38,-25.76 -40.29,7.07 -38.12,39.88 -35.56,82.63 20.37,63.61 164.19,31.01 169.28,-1.84 171.55,-34.62 173.92,-67.07 179.95,-79.56 -28.42,-47.52 -12.48,-14.83 -9.51,18.03 -7.39,50.76 -4.17,84.32 162.49,52.79 -163.29,20.07 -159.87,-12.79 -157.75,-45.49 -154.91,-77.65 -141.96,-69.07 12.02,-36.66 18.77,-3.88 21.20,28.96 23.42,61.59 28.08,74.31 -141.43,41.91 -131.78,9.12 -129.14,-23.72 -126.99,-56.32 -123.17,-86.28 -54.33,-58.33 45.62,-25.76 49.71,7.07 51.88,39.88 54.44,72.33 62.77
54.37 -93.80,85.44 -47.20,60.02 74.96,27.37 79.33,-5.48 81.53,-38.24 84.01,-70.62 91.44,-76.13 -113.49,-43.91 -102.27,-11.19 -99.52,21.67 -97.39,65.18 -61.04,81.21 87.31,49.18 107.03,16.43 110.13,-16.43 112.24,-49.10 115.33,-81.03 134.54,-65.51 -76.71,-33.04 -71.14,-0.24 -68.83,32.60 -66.52,75.85 -24.44,70.77 130.85,38.29 138.36,5.48 140.84,-27.35 143.04,-59.90 147.39,-85.58 -92.92,-54.74 -43.89,-22.13 -40.27,10.72 -38.13,43.50 -35.41,85.44 42.80,60.02 164.96,27.37 169.33,-5.48 171.53,-38.24 174.01,-70.62 -178.56,-76.13 -23.49,-43.91 -12.27,-11.19 -9.52,21.67 -7.39,54.37 -3.80,81.21 177.31,49.18 -162.97,16.43 -159.87,-16.43 -157.76,-49.10 -154.67,-81.03 -135.46,-65.51 13.29,-33.04 18.86,-0.24 21.17,32.60 23.48,65.18 28.96,70.77 -139.15,38.29 -131.64,5.48 -129.16,-27.35 -126.96,-59.90 -122.61,-85.58 -2.92,-54.74 46.11,-22.13 49.73,10.72 51.87,43.50 54.59,75.85 65.56
57.97 -93.32,86.34 3.24,56.42 75.53,23.73 79.36,-9.12 81.51,-41.86 84.15,-74.14 93.67,-72.63 -110.60,-40.30 -102.11,-7.55 -99.54,25.30 -97.37,68.75 -59.80,77.82 94.08,45.56 107.28,12.79 110.12,-20.06 112.25,-52.70 115.65,-84.15 148.56,-61.94 -75.80,-29.41 -71.08,3.41 -68.85,36.23 -66.44,79.30 -19.71,67.21 132.37,34.66 138.46,1.83 140.82,-30.98 143.09,-63.48 148.14,-82.86 -69.01,-51.14 -43.52,-18.49 -40.26,14.36 -38.15,47.12 -35.20,86.34 93.24,56.42 165.53,23.73 169.36,-9.12 171.51,-41.86 174.15,-74.14 -176.33,-72.63 -20.60,-40.30 -12.11,-7.55 -9.54,25.30 -7.37,57.97 -3.32,77.82 -175.92,45.56 -162.72,12.79 -159.88,-20.06 -157.75,-52.70 -154.35,-84.15 -121.44,-61.94 14.20,-29.41 18.92,3.41 21.15,36.23 23.56,68.75 30.20,67.21 -137.63,34.66 -131.54,1.83 -129.18,-30.98 -126.91,-63.48 -121.86,-82.86 20.99,-51.14 46.48,-18.49 49.74,14.36 51.85,47.12 54.80,79.30 70.29
61.57 -92.68,84.33 41.58,52.81 75.95,20.09 79.37,-12.76 81.50,-45.47 84.33,-77.62 97.26,-69.09 -108.74,-36.68 -101.99,-3.91 -99.56,28.94 -97.33,72.30 -58.00,74.33 97.79,41.94 107.46,9.14 110.11,-23.70 112.26,-56.29 116.07,-86.27 -175.43,-58.35 -75.14,-25.78 -71.05,7.05 -68.87,39.86 -66.32,82.61 -10.47,63.63 133.43,31.03 138.53,-1.81 140.80,-34.60 143.16,-67.05 149.18,-79.59 -59.22,-47.54 -43.24,-14.85 -40.27,18.00 -38.15,50.74 -34.92,84.33 131.58,52.81 165.95,20.09 169.37,-12.76 171.50,-45.47 174.33,-77.62 -172.74,-69.09 -18.74,-36.68 -11.99,-3.91 -9.56,28.94 -7.33,61.57 -2.68,74.33 -172.21,41.94 -162.54,9.14 -159.89,-23.70 -157.74,-56.29 -153.93,-86.27 -85.43,-58.35 14.86,-25.78 18.95,7.05 21.13,39.86 23.68,72.30 32.00,63.63 -136.57,31.03 -131.47,-1.81 -129.20,-34.60 -126.84,-67.05 -120.82,-79.59 30.78,-47.54 46.76,-14.85 49.73,18.00 51.85,50.74 55.08,82.61 79.53
65.16 -91.80,81.23 56.50,49.20 76.28,16.45 79.38,-16.40 81.49,-49.08 84.57,-81.01 103.73,-65.53 -107.47,-33.06 -101.90,-0.26 -99.58,32.57 -97.27,75.83 -55.22,70.80 100.08,38.31 107.60,5.50 110.09,-27.33 112.29,-59.88 116.63,-85.60 -123.92,-54.76 -74.65,-22.15 -71.02,10.69 -68.89,43.48 -66.16,85.42 11.81,60.04 134.20,27.39 138.58,-5.46 140.78,-38.22 143.26,-70.60 150.67,-76.15 -54.27,-43.93 -43.02,-11.21 -40.28,21.64 -38.14,54.35 -34.56,81.23 146.50,49.20 166.28,16.45 169.38,-16.40 171.49,-49.08 174.57,-81.01 -166.27,-65.53 -17.47,-33.06 -11.90,-0.26 -9.58,32.57 -7.27,65.16 -1.80,70.80 -169.92,38.31 -162.40,5.50 -159.91,-27.33 -157.71,-59.88 -153.37,-85.60 -33.92,-54.76 15.35,-22.15 18.98,10.69 21.11,43.48 23.84,75.83 34.78,60.04 -135.80,27.39 -131.42,-5.46 -129.22,-38.22 -126.74,-70.60 -119.33,-76.15 35.73,-43.93 46.98,-11.21 49.72,21.64 51.86,54.35 55.44,85.42 101.81
68.73 -90.57,77.84 63.29,45.58 76.52,12.81 79.37,-20.04 81.49,-52.68 84.89,-84.13 117.67,-61.96 -106.56,-29.43 -101.84,3.38 -99.60,36.21 -97.19,79.28 -50.51,67.23 101.61,34.68 107.70,1.85 110.07,-30.95 112.33,-63.46 117.38,-82.88 -99.86,-51.17 -74.28,-18.51 -71.02,14.34 -68.90,47.10 -65.96,86.34 62.13,56.44 134.77,23.76 138.61,-9.10 140.76,-41.84 143.40,-74.12 152.89,-72.65 -51.37,-40.32 -42.86,-7.57 -40.29,25.28 -38.12,57.95 -34.08,77.84 153.29,45.58 166.52,12.81 169.37,-20.04 171.49,-52.68 174.89,-84.13 -152.33,-61.96 -16.56,-29.43 -11.84,3.38 -9.60,36.21 -7.19,68.73 -0.57,67.23 -168.39,34.68 -162.30,1.85 -159.93,-30.95 -157.67,-63.46 -152.62,-82.88 -9.86,-51.17 15.72,-18.51 18.98,14.34 21.10,47.10 24.04,79.28 39.49,56.44 -135.23,23.76 -131.39,-9.10 -129.24,-41.84 -126.60,-74.12 -117.11,-72.65 38.63,-40.32 47.14,-7.57 49.71,25.28 51.88,57.95 55.92,86.34 152.13
72.28 -88.77,74.36 67.02,41.96 76.71,9.17 79.35,-23.67 81.50,-56.27 85.31,-86.27 153.48,-58.38 -105.90,-25.81 -101.80,7.03 -99.63,39.83 -97.08,82.59 -41.31,63.65 102.67,31.05 107.77,-1.79 110.04,-34.58 112.40,-67.02 118.42,-79.61 -90.02,-47.57 -73.99,-14.88 -71.02,17.98 -68.90,50.71 -65.68,84.35 100.68,52.83 135.20,20.12 138.62,-12.74 140.74,-45.45 143.58,-77.60 156.47,-69.11 -49.51,-36.70 -42.74,-3.93 -40.31,28.92 -38.09,61.55 -33.44,74.36 157.02,41.96 166.71,9.17 169.35,-23.67 171.50,-56.27 175.31,-86.27 -116.52,-58.38 -15.90,-25.81 -11.80,7.03 -9.63,39.83 -7.08,72.28 1.23,63.65 -167.33,31.05 -162.23,-1.79 -159.96,-34.58 -157.60,-67.02 -151.58,-79.61 -0.02,-47.57 16.01,-14.88 18.98,17.98 21.10,50.71 24.32,82.59 48.69,52.83 -134.80,20.12 -131.38,-12.74 -129.26,-45.45 -126.42,-77.60 -113.53,-69.11 40.49,-36.70 47.26,-3.93 49.69,28.92 51.91,61.55 56.56,84.35 -169.32
75.80 -86.00,70.82 69.32,38.34 76.85,5.52 79.34,-27.30 81.53,-59.86 85.87,-85.61 -154.92,-54.79 -105.41,-22.17 -101.78,10.67 -99.64,43.46 -96.92,85.41 -19.17,60.06 103.44,27.42 107.82,-5.43 110.02,-38.20 112.50,-70.57 119.90,-76.17 -85.05,-43.96 -73.78,-11.24 -71.03,21.62 -68.90,54.32 -65.32,81.25 115.68,49.22 135.52,16.48 138.62,-16.38 140.74,-49.05 143.82,-80.99 162.91,-65.55 -48.23,-33.08 -42.65,-0.29 -40.34,32.55 -38.03,65.13 -32.56,70.82 159.32,38.34 166.85,5.52 169.34,-27.30 171.53,-59.86 175.87,-85.61 -64.92,-54.79 -15.41,-22.17 -11.78,10.67 -9.64,43.46 -6.92,75.80 4.00,60.06 -166.56,27.42 -162.18,-5.43 -159.98,-38.20 -157.50,-70.57 -150.10,-76.17 4.95,-43.96 16.22,-11.24 18.97,21.62 21.10,54.32 24.68,85.41 70.83,49.22 -134.48,16.48 -131.38,-16.38 -129.26,-49.05 -126.18,-80.99 -107.09,-65.55 41.77,-33.08 47.35,-0.29 49.66,32.55 51.97,65.13 57.44,81.25 -154.32
